stage,model,group,n,rmse,mae,r2
stage1_spring,linear,pooled,285,1.1279910012515582,0.752768510750468,0.0306069426748653
stage1_spring,linear,Cabernet Savignon,42,0.6191495264552497,0.5467655190150922,-0.06251581315391119
stage1_spring,linear,Chardonnay,43,1.0525181013225706,0.7998929531716363,-0.11911804450984742
stage1_spring,linear,Gewurztraminer,42,0.8646709209002479,0.7016511159020133,-0.1035161919953349
stage1_spring,linear,Merlot,24,0.9788727074990019,0.8197643200005896,-0.759430575356794
stage1_spring,linear,Pinot Blanc,12,1.829253681801003,1.1960321545628696,-0.3523737558021154
stage1_spring,linear,Pinot Gris,37,0.9677510538870611,0.8094762477501589,-0.05315979107288227
stage1_spring,linear,Pinot Noir,43,1.696186844186528,0.8093753503158001,-0.11947839344009958
stage1_spring,linear,Riesling/White Riesling,42,1.046201575368739,0.6888009320447804,-0.24515605442909427
stage1_spring,svm,pooled,285,1.1386725083199267,0.754726691254242,0.012160687151227756
stage1_spring,svm,Cabernet Savignon,42,0.6044945935923696,0.5272201690703008,-0.01281273647605996
stage1_spring,svm,Chardonnay,43,1.0387682300438246,0.7912427318156405,-0.09006919862587037
stage1_spring,svm,Gewurztraminer,42,0.8653400093081448,0.6904021057562724,-0.1052246698550452
stage1_spring,svm,Merlot,24,0.9412878725643797,0.7753820741924775,-0.6269140951550578
stage1_spring,svm,Pinot Blanc,12,2.002837385546176,1.3523022520376815,-0.6212135972010258
stage1_spring,svm,Pinot Gris,37,0.9700007544991865,0.815262404869353,-0.05806197770282995
stage1_spring,svm,Pinot Noir,43,1.6975441227022825,0.8080477697395451,-0.12127071001470768
stage1_spring,svm,Riesling/White Riesling,42,1.0712949720829512,0.7187136693483857,-0.3056031180743599
stage2_summer,linear,pooled,285,1.0854538744928894,0.7005254986598446,0.10234101678039409
stage2_summer,linear,Cabernet Savignon,42,0.6044741333718273,0.49016474804394505,-0.012744176652753625
stage2_summer,linear,Chardonnay,43,1.0092076293627967,0.7522230809843459,-0.02891097832952294
stage2_summer,linear,Gewurztraminer,42,0.8054385856984864,0.6433747368008069,0.04249320431350612
stage2_summer,linear,Merlot,24,0.8885306897523726,0.7319792414063565,-0.44965467652418756
stage2_summer,linear,Pinot Blanc,12,1.7024661742553826,1.1003665906964362,-0.1714016791291726
stage2_summer,linear,Pinot Gris,37,0.9142331076433798,0.7628777120355342,0.06010172404106928
stage2_summer,linear,Pinot Noir,43,1.6838139723575383,0.7483455972775858,-0.10320584195682048
stage2_summer,linear,Riesling/White Riesling,42,1.0098640162747334,0.6790066514735361,-0.16016254505680427
stage2_summer,svm,pooled,285,1.1052170025995294,0.7151920672867229,0.06935563951846524
stage2_summer,svm,Cabernet Savignon,42,0.6077186674734902,0.49178253801716515,-0.02364522725599505
stage2_summer,svm,Chardonnay,43,1.0166459398310221,0.7621371576356826,-0.044133938231359915
stage2_summer,svm,Gewurztraminer,42,0.8072971915542663,0.645524519576301,0.03806907793871128
stage2_summer,svm,Merlot,24,0.8579277089160419,0.694896594188776,-0.35151566700638215
stage2_summer,svm,Pinot Blanc,12,1.9192012585427145,1.3092018259332556,-0.4886407325991573
stage2_summer,svm,Pinot Gris,37,0.9224703847749746,0.7695991692327806,0.043088379658513754
stage2_summer,svm,Pinot Noir,43,1.6922707779277022,0.7642773457587636,-0.11431517588353124
stage2_summer,svm,Riesling/White Riesling,42,1.02711447824166,0.7039026113925406,-0.2001367853921694
stage3_harvest,linear,pooled,285,1.09369261335734,0.7051960069840064,0.08866260107749613
stage3_harvest,linear,Cabernet Savignon,42,0.6052436008286521,0.4891035644938152,-0.015324170179530805
stage3_harvest,linear,Chardonnay,43,1.0146294419502864,0.7502930820907258,-0.03999600645448975
stage3_harvest,linear,Gewurztraminer,42,0.8161044153627351,0.6515825145289066,0.01696618446419118
stage3_harvest,linear,Merlot,24,0.9035509039136972,0.7386280373776296,-0.49908046421835284
stage3_harvest,linear,Pinot Blanc,12,1.7060661395888823,1.0876613314323686,-0.17636091303808166
stage3_harvest,linear,Pinot Gris,37,0.9225394012965106,0.7670990932902123,0.0429451876751088
stage3_harvest,linear,Pinot Noir,43,1.6892046699667458,0.7596338765635883,-0.11028093323573995
stage3_harvest,linear,Riesling/White Riesling,42,1.030169119012893,0.6900836219848243,-0.20728581923391598
stage3_harvest,svm,pooled,285,1.1225387484739882,0.7241116836587543,0.03995560289896394
stage3_harvest,svm,Cabernet Savignon,42,0.6289343580360223,0.5034846081266993,-0.09636447018737027
stage3_harvest,svm,Chardonnay,43,1.0387214642042677,0.7796621180179312,-0.08997104996816696
stage3_harvest,svm,Gewurztraminer,42,0.7961426135693677,0.6342563976882454,0.06446779414259973
stage3_harvest,svm,Merlot,24,0.8129036313442317,0.6414524776747318,-0.21338276625012242
stage3_harvest,svm,Pinot Blanc,12,2.0930187626880348,1.51765484265033,-0.7704966187859323
stage3_harvest,svm,Pinot Gris,37,0.9440030957873141,0.7818030563108511,-0.0021063194495170023
stage3_harvest,svm,Pinot Noir,43,1.6738845695333122,0.7372581131784419,-0.09023305855766561
stage3_harvest,svm,Riesling/White Riesling,42,1.0647542568784187,0.7339454047041485,-0.28970925225032684
